"element_id","sentence_id","negative","neutral","positive","sentence"
"x1287","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1288","x1","too good","is csk just to beat",NA,"Is CSK just too good to beat"
"x1289","x1",NA,"thats a jump csk","good","Thats a good jump CSK"
"x1290","x1",NA,"chalo at least csk u guys kept my srh pls follow this state not rcb waiting","pride intact fellow brother","Chalo at least csk u guys kept my pride intact 
SRH Pls follow this fellow state brother not rcb 
Waiting"
"x1291","x1",NA,"csk will make their home dontgetfried getbaked ipl tooyumm","win","CSK will make their home win DontGetFried GetBaked IPL TooYumm"
"x1292","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1293","x1",NA,"table toppers cskvkkr ozm match played deepakchahar csk","well","Table Toppers 

CSKvKKR ozm match 
Well played DeepakChahar

CSK"
"x1294","x1","boring","there are people trolling csk for their run chase today wellthe points counts at the the end of day w",NA,"There are people trolling CSK for their boring run chase today Wellthe points counts at the end of the day W"
"x1295","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1296","x1",NA,"a a is at the the the the end of of day csk kings th in matches firmly on table csktheki","win win win top","A win is a win at the end of the day

CSK the kings th win in matches Firmly on top of the table

CSKTheKi"
"x1297","x1",NA,"we we dont need net run rate matches csk whistlepodu","win","We dont need net run rate We win matches
CSK WhistlePodu"
"x1298","x1","nonsense","absolutely by how the strategies of are gets with every single game no","amazed smart better","Absolutely amazed by how smart the strategies of are Gets better with every single game 

No nonsense"
"x1299","x1",NA,"and another regular day at the office anbuden cskvkkr cake walk moonu naaal la meet panitom csk thala",NA,"And another regular day at the office AnbuDen CSKvKKR Cake Walk Moonu naaal la meet panitom CSK Thala"
"x1300","x1",NA,"gud csk the match to thair thair chakar chakar thaladhoni therikavidalama","knight won thanks","Gud knight
csk won the match thanks to thair chakar THALADHONI
chakar thair
THERIKAVIDALAMA"
"x1301","x1","missed freezing","the the the csk innings as it it was was first outdoor nets of year verdict in pavilion looked",NA,"Missed the CSK innings as it was first outdoor nets of the year Verdict in the pavilion it was freezing looked"
"x1302","x1",NA,"what is smoking csk the match today whistlepodu","won","What is smoking CSK won the match today WhistlePodu"
"x1303","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1304","x1",NA,"other franchises waiting for csk away matches",NA,"Other Franchises Waiting for CSK away Matches"
"x1305","x1",NA,"it this minute clip was namma thambi sambi playing with son gibran and","admit love","Admit it this minute clip was love Namma Thambi Sambi playing with son Gibran and"
"x1306","x1","missed","again number at the points table but batting anyway csk daaaaaaaaa",NA,"Again number at the points table But Missed batting 
Anyway CSK daaaaaaaaa"
"x1307","x1",NA,"it this minute clip was namma thambi sambi playing with son gibran a","admit love","Admit it this minute clip was love Namma Thambi Sambi playing with son Gibran a"
"x1308","x1",NA,"at the the auctions csk built team for these surfacesand theyre but that makes their effo","thriving trophy winning","At the auctions CSK built the team for these surfacesand theyre thriving But that makes their trophy winning effo"
"x1309","x1",NA,"csk moves to of the points table kings at their own position whistle podu cskvkkr follow","top super","CSK Moves to Top Of the Points Table

SUPER KINGS At their Own Position 

WHISTLE PODU

 CSKvKKR Follow"
